               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.028914,            0.020772,            0.004863,             0.88136,             0.83008,              0.8852,             0.59287,            0.029681,            0.016893,           0.0072996,             0.00703,             0.00703,             0.00703
                  92,            0.029792,            0.020891,           0.0050902,             0.87935,             0.85714,             0.88981,             0.59046,            0.030316,            0.016804,           0.0069524,            0.006997,            0.006997,            0.006997
                  93,            0.029712,             0.02154,           0.0049041,             0.87625,             0.85212,             0.87524,             0.59845,            0.029024,            0.016751,            0.006875,            0.006964,            0.006964,            0.006964
                  94,            0.029057,            0.020828,           0.0049922,             0.90246,             0.82373,             0.88064,             0.58262,            0.029767,            0.016839,           0.0068236,            0.006931,            0.006931,            0.006931
                  95,            0.029452,            0.020464,           0.0045905,             0.89187,             0.82494,             0.87799,             0.59018,            0.029619,            0.017063,            0.006627,            0.006898,            0.006898,            0.006898
                  96,            0.029549,             0.02081,           0.0047947,              0.8793,             0.84837,             0.88023,             0.59807,             0.02975,            0.017018,           0.0064803,            0.006865,            0.006865,            0.006865
                  97,            0.028192,            0.020609,           0.0046219,             0.87963,             0.83431,              0.8751,             0.58921,            0.028751,            0.016794,           0.0067043,            0.006832,            0.006832,            0.006832
                  98,            0.028048,            0.021366,           0.0047244,              0.9026,             0.83286,             0.87881,             0.59353,            0.029087,             0.01672,           0.0066288,            0.006799,            0.006799,            0.006799
                  99,            0.028949,            0.021441,           0.0050045,             0.90259,              0.8216,             0.87563,              0.5973,            0.028726,            0.016429,            0.006494,            0.006766,            0.006766,            0.006766
                 100,            0.028582,            0.022059,           0.0044795,             0.88119,             0.82615,              0.8799,             0.59868,            0.028934,            0.016584,            0.006601,            0.006733,            0.006733,            0.006733
